bank_link|pr_id|pr_link
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wamu.html|PR-85-2008|https://www.fdic.gov/news/press-releases/2008/pr08085.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ameribank.html|PR-82-2008|https://www.fdic.gov/news/press-releases/2008/pr08082.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverstate.html|PR-77-2008|https://www.fdic.gov/news/press-releases/2008/pr08077.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integrity.html|PR-74-2008|https://www.fdic.gov/news/press-releases/2008/pr08074.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/columbian.html|PR-69-2008|https://www.fdic.gov/news/press-releases/2008/pr08069.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstprioritybank.html|PR-65-2008|https://www.fdic.gov/news/press-releases/2008/pr08065.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbnv.html|PR-63-2008|https://www.fdic.gov/news/press-releases/2008/pr08063.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritage.html|PR-63-2008|https://www.fdic.gov/news/press-releases/2008/pr08063.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/indymac.html|PR-56-2008|https://www.fdic.gov/news/press-releases/2008/pr08056.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/indymac.html|PR-42-2009|https://www.fdic.gov/news/press-releases/2009/pr09042.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/first-integrity-bank.html|PR-41-2008|https://www.fdic.gov/news/press-releases/2008/pr08041.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/anb.html|PR-33-2008|https://www.fdic.gov/news/press-releases/2008/pr08033.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hume.html|PR-21-2008|https://www.fdic.gov/news/press-releases/2008/pr08021.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/douglass.html|PR-7-2008|https://www.fdic.gov/news/press-releases/2008/pr08007.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstfederal-ca.html|PR-239-2009|https://www.fdic.gov/news/press-releases/2009/pr09239.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/imperialcapital.html|PR-238-2009|https://www.fdic.gov/news/press-releases/2009/pr09238.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ibb.html|PR-237-2009|https://www.fdic.gov/news/press-releases/2009/pr09237.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ibb.html|PR-006-2010|https://www.fdic.gov/news/press-releases/2010/pr10006.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newsouth.html|PR-236-2009|https://www.fdic.gov/news/press-releases/2009/pr09236.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensstate-mi.html|PR-235-2009|https://www.fdic.gov/news/press-releases/2009/pr09235.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplesfirst-fl.html|PR-234-2009|https://www.fdic.gov/news/press-releases/2009/pr09234.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockbridge.html|PR-233-2009|https://www.fdic.gov/news/press-releases/2009/pr09233.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/solutions.html|PR-227-2009|https://www.fdic.gov/news/press-releases/2009/pr09227.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/valleycapital.html|PR-226-2009|https://www.fdic.gov/news/press-releases/2009/pr09226.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/republicfederal.html|PR-225-2009|https://www.fdic.gov/news/press-releases/2009/pr09225.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/atlantic-va.html|PR-224-2009|https://www.fdic.gov/news/press-releases/2009/pr09224.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/benchmark-il.html|PR-223-2009|https://www.fdic.gov/news/press-releases/2009/pr09223.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amtrust.html|PR-222-2009|https://www.fdic.gov/news/press-releases/2009/pr09222.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tattnall.html|PR-221-2009|https://www.fdic.gov/news/press-releases/2009/pr09221.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsecurity.html|PR-220-2009|https://www.fdic.gov/news/press-releases/2009/pr09220.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/buckheadcommunity.html|PR-219-2009|https://www.fdic.gov/news/press-releases/2009/pr09219.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commercesw-fl.html|PR-211-2009|https://www.fdic.gov/news/press-releases/2009/pr09211.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificcoastnatl.html|PR-207-2009|https://www.fdic.gov/news/press-releases/2009/pr09207.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/orion-fl.html|PR-206-2009|https://www.fdic.gov/news/press-releases/2009/pr09206.html
