bank_name|bank_fdic_link|city|state|fdic_cert|aquiring_institution|closing_date|funds
Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/valleybankil.html|Moline|IL|10450|Great Southern Bank|June 20, 2014|10502
Slavie Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/slaviefederal.html|Bel Air|MD|32368|Bay Bank, FSB|May 30, 2014|10500
Columbia Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/columbiasavings.html|Cincinnati|OH|32284|United Fidelity Bank, fsb|May 23, 2014|10499
AztecAmerica Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/aztecamerica.html|Berwyn|IL|57866|Republic Bank of Chicago|May 16, 2014|10498
Allendale County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/allendale.html|Fairfax|SC|15062|Palmetto State Bank|April 25, 2014|10497
Vantage Point Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vantagebank.html|Horsham|PA|58531|First Choice Bank|February 28, 2014|10496
Millennium Bank, National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/millenniumbank.html|Sterling|VA|35096|WashingtonFirst Bank|February 28, 2014|10495
Syringa Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/syringabank.html|Boise|ID|34296|Sunwest Bank|January 31, 2014|10494
The Bank of Union|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofunion.html|El Reno|OK|17967|BancFirst|January 24, 2014|10493
DuPage National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dupage.html|West Chicago|IL|5732|Republic Bank of Chicago|January 17, 2014|10492
Texas Community Bank, National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/texascomm.html|The Woodlands|TX|57431|Spirit of Texas Bank, SSB|December 13, 2013|10491
Bank of Jackson County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/jacksoncty.html|Graceville|FL|14794|First Federal Bank of Florida|October 30, 2013|10490
First National Bank also operating as The National Bank of El Paso|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatl-tx.html|Edinburg|TX|14318|PlainsCapital Bank|September 13, 2013|10488
The Community's Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commbank-ct.html|Bridgeport|CT|57041|No Acquirer|September 13, 2013|10489
Sunrise Bank of Arizona|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunrisebank-az.html|Phoenix|AZ|34707|First Fidelity Bank, National Association|August 23, 2013|10487
Community South Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communitysouth.html|Parsons|TN|19849|CB&S Bank, Inc.|August 23, 2013|10486
Bank of Wausau|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofwausau.html|Wausau|WI|35016|Nicolet National Bank|August 9, 2013|10485
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral)|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcommswb.html|Fort Myers|FL|34943|C1 Bank|August 2, 2013|10484
Mountain National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mountain-tn.html|Sevierville|TN|34789|First Tennessee Bank, National Association|June 7, 2013|10483
1st Commerce Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/1stcommerce.html|North Las Vegas|NV|58358|Plaza Bank|June 6, 2013|10482
Banks of Wisconsin d/b/a Bank of Kenosha|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/kenosha.html|Kenosha|WI|35386|North Shore Bank, FSB|May 31, 2013|10478
Central Arizona Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centralaz.html|Scottsdale|AZ|34527|Western State Bank|May 14, 2013|10479
Sunrise Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunrisebank.html|Valdosta|GA|58185|Synovus Bank|May 10, 2013|10481
Pisgah Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pisgahcommbk.html|Asheville|NC|58701|Capital Bank, N.A.|May 10, 2013|10480
Douglas County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/douglascb.html|Douglasville|GA|21649|Hamilton State Bank|April 26, 2013|10476
Parkway Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/parkway.html|Lenoir|NC|57158|CertusBank, National Association|April 26, 2013|10477
Chipola Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/chipola.html|Marianna|FL|58034|First Federal Bank of Florida|April 19, 2013|10473
Heritage Bank of North Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritagebank-fl.html|Orange Park|FL|26680|FirstAtlantic Bank|April 19, 2013|10475
First Federal Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstfederal-ky.html|Lexington|KY|29594|Your Community Bank|April 19, 2013|10474
