bank_name|bank_fdic_link|city|state|fdic_cert|aquiring_institution|closing_date|funds
Integra Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integra.html|Evansville|IN|4392|Old National Bank|July 29, 2011|10384
BankMeridian, N.A.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankmeridian.html|Columbia|SC|58222|SCBT National Association|July 29, 2011|10383
Virginia Business Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vbb.html|Richmond|VA|58283|Xenith Bank|July 29, 2011|10385
Bank of Choice|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofchoice.html|Greeley|CO|2994|Bank Midwest, N.A.|July 22, 2011|10380
LandMark Bank of Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/landmark.html|Sarasota|FL|35244|American Momentum Bank|July 22, 2011|10381
Southshore Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/southshore.html|Apollo Beach|FL|58056|American Momentum Bank|July 22, 2011|10382
Summit Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/summitbank.html|Prescott|AZ|57442|The Foothills Bank|July 15, 2011|10379
First Peoples Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstpeoples.html|Port St. Lucie|FL|34870|Premier American Bank, N.A.|July 15, 2011|10376
High Trust Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hightrust.html|Stockbridge|GA|19554|Ameris Bank|July 15, 2011|10377
One Georgia Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/onegeorgia.html|Atlanta|GA|58238|Ameris Bank|July 15, 2011|10378
Signature Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/signaturebank.html|Windsor|CO|57835|Points West Community Bank|July 8, 2011|10375
Colorado Capital Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coloradocapital.html|Castle Rock|CO|34522|First-Citizens Bank & Trust Company|July 8, 2011|10373
First Chicago Bank & Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstchicago.html|Chicago|IL|27935|Northbrook Bank & Trust Company|July 8, 2011|10374
Mountain Heritage Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mountain.html|Clayton|GA|57593|First American Bank and Trust Company|June 24, 2011|10372
First Commercial Bank of Tampa Bay|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fcbtb.html|Tampa|FL|27583|Stonegate Bank|June 17, 2011|10370
McIntosh State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mcintoshstate.html|Jackson|GA|19237|Hamilton State Bank|June 17, 2011|10371
Atlantic Bank and Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/atlanticbanktrust.html|Charleston|SC|58420|First Citizens Bank and Trust Company, Inc.|June 3, 2011|10369
First Heritage Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstheritage.html|Snohomish|WA|23626|Columbia State Bank|May 27, 2011|10368
Summit Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/summit.html|Burlington|WA|513|Columbia State Bank|May 20, 2011|10367
First Georgia Banking Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fgbc.html|Franklin|GA|57647|CertusBank, National Association|May 20, 2011|10366
Atlantic Southern Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/atlanticsthrn.html|Macon|GA|57213|CertusBank, National Association|May 20, 2011|10365
Coastal Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coastal-fl.html|Cocoa Beach|FL|34898|Florida Community Bank, a division of Premier American Bank, N.A.|May 6, 2011|10364
Community Central Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communitycentral.html|Mount Clemens|MI|34234|Talmer Bank & Trust|April 29, 2011|10359
The Park Avenue Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/parkavenue-ga.html|Valdosta|GA|19797|Bank of the Ozarks|April 29, 2011|10363
First Choice Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstchoice.html|Dallas|GA|58539|Bank of the Ozarks|April 29, 2011|10361
Cortez Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cortez.html|Brooksville|FL|57625|Florida Community Bank, a division of Premier American Bank, N.A.|April 29, 2011|10360
First National Bank of Central Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbcf.html|Winter Park|FL|26297|Florida Community Bank, a division of Premier American Bank, N.A.|April 29, 2011|10362
Heritage Banking Group|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritage-ms.html|Carthage|MS|14273|Trustmark National Bank|April 15, 2011|10354
Rosemount National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rosemount.html|Rosemount|MN|24099|Central Bank|April 15, 2011|10357
Superior Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/superior-al.html|Birmingham|AL|17750|Superior Bank, National Association|April 15, 2011|10358
Nexity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nexity.html|Birmingham|AL|19794|AloStar Bank of Commerce|April 15, 2011|10356
New Horizons Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newhorizons.html|East Ellijay|GA|57705|Citizens South Bank|April 15, 2011|10355
Bartow County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bartow.html|Cartersville|GA|21495|Hamilton State Bank|April 15, 2011|10353
Nevada Commerce Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nevadacommerce.html|Las Vegas|NV|35418|City National Bank|April 8, 2011|10351
Western Springs National Bank and Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westernsprings.html|Western Springs|IL|10086|Heartland Bank and Trust Company|April 8, 2011|10352
The Bank of Commerce|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofcommerce.html|Wood Dale|IL|34292|Advantage National Bank Group|March 25, 2011|10350
Legacy Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/legacy-wi.html|Milwaukee|WI|34818|Seaway Bank and Trust Company|March 11, 2011|10348
First National Bank of Davis|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatldavis.html|Davis|OK|4077|The Pauls Valley National Bank|March 11, 2011|10349
Valley Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/valleycomm.html|St. Charles|IL|34187|First State Bank|February 25, 2011|10347
San Luis Trust Bank, FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sanluistrust.html|San Luis Obispo|CA|34783|First California Bank|February 18, 2011|10346
Charter Oak Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/charteroak.html|Napa|CA|57855|Bank of Marin|February 18, 2011|10343
Citizens Bank of Effingham|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensbk-ga.html|Springfield|GA|34601|Heritage Bank of the South|February 18, 2011|10344
Habersham Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/habersham.html|Clarkesville|GA|151|SCBT National Association|February 18, 2011|10345
Canyon National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/canyonstate.html|Palm Springs|CA|34692|Pacific Premier Bank|February 11, 2011|10340
Badger State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/badgerstate.html|Cassville|WI|13272|Royal Bank|February 11, 2011|10339
Peoples State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplesstatebank.html|Hamtramck|MI|14939|First Michigan Bank|February 11, 2011|10341
Sunshine State Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunshinestate.html|Port Orange|FL|35478|Premier American Bank, N.A.|February 11, 2011|10342
Community First Bank Chicago|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commfirst-il.html|Chicago|IL|57948|Northbrook Bank & Trust Company|February 4, 2011|10337
North Georgia Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northgabank.html|Watkinsville|GA|35242|BankSouth|February 4, 2011|10338
American Trust Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americantrust.html|Roswell|GA|57432|Renasant Bank|February 4, 2011|10336
First Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcomm-nm.html|Taos|NM|12261|U.S. Bank, N.A.|January 28, 2011|10333
FirsTier Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstier.html|Louisville|CO|57646|No Acquirer|January 28, 2011|10334
Evergreen State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/evergreenstatewi.html|Stoughton|WI|5328|McFarland State Bank|January 28, 2011|10332
The First State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststatebank-ok.html|Camargo|OK|2303|Bank 7|January 28, 2011|10335
United Western Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unitedwestern.html|Denver|CO|31293|First-Citizens Bank & Trust Company|January 21, 2011|10331
The Bank of Asheville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofasheville.html|Asheville|NC|34516|First Bank|January 21, 2011|10330
CommunitySouth Bank & Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commsouth.html|Easley|SC|57868|CertusBank, National Association|January 21, 2011|10328
Enterprise Banking Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/enterprise.html|McDonough|GA|19758|No Acquirer|January 21, 2011|10329
Oglethorpe Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oglethorpe.html|Brunswick|GA|57440|Bank of the Ozarks|January 14, 2011|10327
Legacy Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/legacybank.html|Scottsdale|AZ|57820|Enterprise Bank & Trust|January 7, 2011|10326
First Commercial Bank of Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcommercial.html|Orlando|FL|34965|First Southern Bank|January 7, 2011|10325
Community National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communitynatl.html|Lino Lakes|MN|23306|Farmers & Merchants Savings Bank|December 17, 2010|10321
First Southern Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsouthern.html|Batesville|AR|58052|Southern Bank|December 17, 2010|10322
United Americas Bank, N.A.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unitedamericas.html|Atlanta|GA|35065|State Bank and Trust Company|December 17, 2010|10323
Appalachian Community Bank, FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/appalachianga.html|McCaysville|GA|58495|Peoples Bank of East Tennessee|December 17, 2010|10319
Chestatee State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/chestatee.html|Dawsonville|GA|34578|Bank of the Ozarks|December 17, 2010|10320
The Bank of Miami,N.A.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofmiami.html|Coral Gables|FL|19040|1st United Bank|December 17, 2010|10324
Earthstar Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/earthstar.html|Southampton|PA|35561|Polonia Bank|December 10, 2010|10317
Paramount Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/paramount.html|Farmington Hills|MI|34673|Level One Bank|December 10, 2010|10318
First Banking Center|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbanking.html|Burlington|WI|5287|First Michigan Bank|November 19, 2010|10315
Allegiance Bank of North America|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/allegbank.html|Bala Cynwyd|PA|35078|VIST Bank|November 19, 2010|10314
Gulf State Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gulfstate.html|Carrabelle|FL|20340|Centennial Bank|November 19, 2010|10316
Copper Star Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/copperstar.html|Scottsdale|AZ|35463|Stearns Bank, N.A.|November 12, 2010|10311
Darby Bank & Trust Co.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/darbybank.html|Vidalia|GA|14580|Ameris Bank|November 12, 2010|10312
Tifton Banking Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tifton.html|Tifton|GA|57831|Ameris Bank|November 12, 2010|10313
First Vietnamese American Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstvietnamese.html|Westminster|CA|57885|Grandpoint Bank|November 5, 2010|10307
Pierce Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/piercecommercial.html|Tacoma|WA|34411|Heritage Bank|November 5, 2010|10309
Western Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westerncommercial-ca.html|Woodland Hills|CA|58087|First California Bank|November 5, 2010|10310
K Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/kbank.html|Randallstown|MD|31263|Manufacturers and Traders Trust Company (M&T Bank)|November 5, 2010|10308
First Arizona Savings, A FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstazfsb.html|Scottsdale|AZ|32582|No Acquirer|October 22, 2010|10306
Hillcrest Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hillcrest-ks.html|Overland Park|KS|22173|Hillcrest Bank, N.A.|October 22, 2010|10302
First Suburban National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsuburban.html|Maywood|IL|16089|Seaway Bank and Trust Company|October 22, 2010|10301
The First National Bank of Barnesville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbbarnesville.html|Barnesville|GA|2119|United Bank|October 22, 2010|10304
The Gordon Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gordon.html|Gordon|GA|33904|Morris Bank|October 22, 2010|10305
Progress Bank of Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/progress-fl.html|Tampa|FL|32251|Bay Cities Bank|October 22, 2010|10303
First Bank of Jacksonville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankjacksonville.html|Jacksonville|FL|27573|Ameris Bank|October 22, 2010|10300
Premier Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premier-mo.html|Jefferson City|MO|34016|Providence Bank|October 15, 2010|10297
WestBridge Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westbridge.html|Chesterfield|MO|58205|Midland States Bank|October 15, 2010|10299
Security Savings Bank, F.S.B.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitysavingsfsb.html|Olathe|KS|30898|Simmons First National Bank|October 15, 2010|10298
Shoreline Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/shoreline.html|Shoreline|WA|35250|GBC International Bank|October 1, 2010|10295
Wakulla Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wakulla.html|Crawfordville|FL|21777|Centennial Bank|October 1, 2010|10296
North County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northcounty.html|Arlington|WA|35053|Whidbey Island Bank|September 24, 2010|10294
Haven Trust Bank Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/haventrust-fl.html|Ponte Vedra Beach|FL|58308|First Southern Bank|September 24, 2010|10293
Maritime Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/maritimesavings.html|West Allis|WI|28612|North Shore Bank, FSB|September 17, 2010|10291
Bramble Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bramblesavings.html|Milford|OH|27808|Foundation Bank|September 17, 2010|10288
The Peoples Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplesbank-ga.html|Winder|GA|182|Community & Southern Bank|September 17, 2010|10292
First Commerce Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcommerce-ga.html|Douglasville|GA|57448|Community & Southern Bank|September 17, 2010|10289
Bank of Ellijay|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ellijay.html|Ellijay|GA|58197|Community & Southern Bank|September 17, 2010|10287
ISN Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/isnbank.html|Cherry Hill|NJ|57107|Customers Bank|September 17, 2010|10290
Horizon Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizonfl.html|Bradenton|FL|35061|Bank of the Ozarks|September 10, 2010|10286
Sonoma Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sonoma.html|Sonoma|CA|27259|Westamerica Bank|August 20, 2010|10285
Los Padres Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lospadres.html|Solvang|CA|32165|Pacific Western Bank|August 20, 2010|10282
Butte Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/butte.html|Chico|CA|33219|Rabobank, N.A.|August 20, 2010|10278
Pacific State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificbk.html|Stockton|CA|27090|Rabobank, N.A.|August 20, 2010|10283
ShoreBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/shorebank.html|Chicago|IL|15640|Urban Partnership Bank|August 20, 2010|10284
Imperial Savings and Loan Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/imperialsvgs.html|Martinsville|VA|31623|River Community Bank, N.A.|August 20, 2010|10280
Independent National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/inatbank.html|Ocala|FL|27344|CenterState Bank of Florida, N.A.|August 20, 2010|10281
Community National Bank at Bartow|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cnbbartow.html|Bartow|FL|25266|CenterState Bank of Florida, N.A.|August 20, 2010|10279
Palos Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/palosbank.html|Palos Heights|IL|17599|First Midwest Bank|August 13, 2010|10277
Ravenswood Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ravenswood.html|Chicago|IL|34231|Northbrook Bank & Trust Company|August 6, 2010|10276
LibertyBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/libertyor.html|Eugene|OR|31964|Home Federal Bank|July 30, 2010|10273
The Cowlitz Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cowlitz.html|Longview|WA|22643|Heritage Bank|July 30, 2010|10275
Coastal Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coastal.html|Panama City Beach|FL|9619|Centennial Bank|July 30, 2010|10272
Bayside Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bayside.html|Port Saint Joe|FL|57669|Centennial Bank|July 30, 2010|10271
Northwest Bank & Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northwestga.html|Acworth|GA|57658|State Bank and Trust Company|July 30, 2010|10274
Home Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homevalleyor.html|Cave Junction|OR|23181|South Valley Bank & Trust|July 23, 2010|10266
SouthwestUSA Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/southwestusanv.html|Las Vegas|NV|35434|Plaza Bank|July 23, 2010|10267
Community Security Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communitysecmn.html|New Prague|MN|34486|Roundbank|July 23, 2010|10264
Thunder Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/thunderbankks.html|Sylvan Grove|KS|10506|The Bennington State Bank|July 23, 2010|10269
Williamsburg First National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/williamsburgsc.html|Kingstree|SC|17837|First Citizens Bank and Trust Company, Inc.|July 23, 2010|10270
Crescent Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/crescentga.html|Jasper|GA|27559|Renasant Bank|July 23, 2010|10265
Sterling Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sterlingfl.html|Lantana|FL|32536|IBERIABANK|July 23, 2010|10268
Mainstreet Savings Bank, FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstsvgs.html|Hastings|MI|28136|Commercial Bank|July 16, 2010|10258
Olde Cypress Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oldecypress.html|Clewiston|FL|28864|CenterState Bank of Florida, N.A.|July 16, 2010|10260
Turnberry Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/turnberry.html|Aventura|FL|32280|NAFH National Bank|July 16, 2010|10261
Metro Bank of Dade County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metrobankfl.html|Miami|FL|25172|NAFH National Bank|July 16, 2010|10259
First National Bank of the South|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatlsc.html|Spartanburg|SC|35383|NAFH National Bank|July 16, 2010|10263
Woodlands Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/woodlands.html|Bluffton|SC|32571|Bank of the Ozarks|July 16, 2010|10262
Home National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homenatlok.html|Blackwell|OK|11636|RCB Bank|July 9, 2010|10256
USA Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/usabankny.html|Port Chester|NY|58072|New Century Bank|July 9, 2010|10254
Ideal Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/idealfedsvngsmd.html|Baltimore|MD|32456|No Acquirer|July 9, 2010|10257
Bay National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/baynatlmd.html|Baltimore|MD|35462|Bay Bank, FSB|July 9, 2010|10255
High Desert State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/highdesertnm.html|Albuquerque|NM|35279|First American Bank|June 25, 2010|10252
First National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatga.html|Savannah|GA|34152|The Savannah Bank, N.A.|June 25, 2010|10251
Peninsula Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peninsulafl.html|Englewood|FL|26563|Premier American Bank, N.A.|June 25, 2010|10253
Nevada Security Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nevsecbank.html|Reno|NV|57110|Umpqua Bank|June 18, 2010|10250
Washington First International Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/washfirstintl.html|Seattle|WA|32955|East West Bank|June 11, 2010|10249
TierOne Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tieronebankne.html|Lincoln|NE|29341|Great Western Bank|June 4, 2010|10248
Arcola Homestead Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/arcolail.html|Arcola|IL|31813|No Acquirer|June 4, 2010|10246
First National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatms.html|Rosedale|MS|15814|The Jefferson Bank|June 4, 2010|10247
Sun West Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/swbnevada.html|Las Vegas|NV|34785|City National Bank|May 28, 2010|10245
Granite Community Bank, NA|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/graniteca.html|Granite Bay|CA|57315|Tri Counties Bank|May 28, 2010|10244
Bank of Florida - Tampa|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankoffloridatb.html|Tampa|FL|57814|EverBank|May 28, 2010|10243
Bank of Florida - Southwest|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankoffloridasw.html|Naples|FL|35106|EverBank|May 28, 2010|10242
Bank of Florida - Southeast|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankoffloridase.html|Fort Lauderdale|FL|57360|EverBank|May 28, 2010|10241
Pinehurst Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pinehurstmn.html|Saint Paul|MN|57735|Coulee Bank|May 21, 2010|10240
Midwest Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/midwestil.html|Elmwood Park|IL|18117|FirstMerit Bank, N.A.|May 14, 2010|10236
Southwest Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/swcmntymo.html|Springfield|MO|34255|Simmons First National Bank|May 14, 2010|10239
New Liberty Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newlibertymi.html|Plymouth|MI|35586|Bank of Ann Arbor|May 14, 2010|10237
Satilla Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/satillacmntyga.html|Saint Marys|GA|35114|Ameris Bank|May 14, 2010|10238
1st Pacific Bank of California|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/1stpacific.html|San Diego|CA|35517|City National Bank|May 7, 2010|10232
Towne Bank of Arizona|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/townebank.html|Mesa|AZ|57697|Commerce Bank of Arizona|May 7, 2010|10235
Access Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/accessbank.html|Champlin|MN|16476|PrinsBank|May 7, 2010|10233
The Bank of Bonifay|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bonifay.html|Bonifay|FL|14246|First Federal Bank of Florida|May 7, 2010|10234
Frontier Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/frontier.html|Everett|WA|22710|Union Bank, N.A.|April 30, 2010|10228
BC National Banks|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bc-natl.html|Butler|MO|17792|Community First Bank|April 30, 2010|10225
Champion Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/champion.html|Creve Coeur|MO|58362|BankLiberty|April 30, 2010|10227
CF Bancorp|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cfbancorp.html|Port Huron|MI|30005|First Michigan Bank|April 30, 2010|10226
Westernbank Puerto Rico|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westernbank-puertorico.html|Mayaguez|PR|31027|Banco Popular de Puerto Rico|April 30, 2010|10231
R-G Premier Bank of Puerto Rico|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/r-gpremier-puertorico.html|Hato Rey|PR|32185|Scotiabank de Puerto Rico|April 30, 2010|10230
Eurobank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/eurobank-puertorico.html|San Juan|PR|27150|Oriental Bank and Trust|April 30, 2010|10229
Wheatland Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wheatland.html|Naperville|IL|58429|Wheaton Bank & Trust|April 23, 2010|10224
Peotone Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peotone.html|Peotone|IL|10888|First Midwest Bank|April 23, 2010|10223
Lincoln Park Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lincoln-park.html|Chicago|IL|30600|Northbrook Bank & Trust Company|April 23, 2010|10221
